#Grafy, co neni potreba testovat - Graph 1
1|1
# Graph 2
1|2
2|3
3|4
4|1
# Graph 3
1|1,2,3
2|3,4
3|4
4|4
# Graph 4
1|2,3
2|3,4
3|4
4|5
5|1
# Graph 5
1|1,2,2,3
2|1,2,3
3|1,2,3,3
# Graph 6
1|2
2|1
# Graph 7
1|5,3,5
2|2,5,4
3|4,5,4
4|2,4,1
5|4,4,2
# Graph 8
1|1,1,1,1,2
2|2,2,2,2,3
3|3,3,3,3,4
4|4,4,4,4,5
5|5,5,5,5,6
6|6,6,6,6,1
# Graph 9
1|2,3
2|3,4
3|4,5
4|5,6
5|6,7
6|7,8
7|8,9
8|9,10
9|10,11
10|11,12
11|12,13
12|13,14
13|14,1
14|1,2
# Grafy, kde je K5 - Graph 10
1|2,3,4,5
2|1,3,4,5
3|1,2,4,5
4|1,2,3,5
5|2,3,4,5
# Graph 11
1|1,2,3,4
2|1,2,3,5
3|1,3,4,5
4|2,3,4,5
5|1,2,4,5
# Graph 12
1|2,3,4,5
2|1,3,4,5
3|1,2,4,6
4|1,2,3,5
5|1,2,4,6
6|6
# Graph 13
1|2,3,4,5
2|1,3,4,5
3|1,2,4,5
4|1,2,3,5
5|1,2,3,4
6|1
7|2
8|3
9|4
10|5
# Graph 14
1|2,3,4,5,6,7,8,9
2|1,3,4,5,6,7,8,9
3|1,2,4,5,6,7,8,9
4|1,2,3,5,6,7,8,9
5|1,2,3,4,6,7,8,9
6|1,2,3,4,5,7,8,9
7|1,2,3,4,5,6,8,9
8|1,2,3,4,5,6,7,9
9|1,2,3,4,5,6,7,8
# Graph 15
1|2,3,4,5,6
2|1,2,3,4
3|1,3,3,4,5,6
4|1,3,4,5,6
5|1,2,3,4,5,6
6|1,2,3,4,5,6,7
7|7,7,1,8,8,3
8|2,4,5
# Grafy, kde je K3,3 - Graph 16
1|3,4,5
2|3,4,5
3|3
4|4
5|5
6|3,4,5
# Graph 17
1|5,2,3,4
2|2,3,2,5
3|2,5,4,4
4|4,6,2,4
5|6,3,5,5
6|3,5,2,1
# Graph 18
1|3,4,5
2|3,4,5
3|6
4|6
5|6
6|6
7|3,4,5
# Graph 19
1|2,4,6,14
2|3,7,8,9
3|5,8,12
4|4,4,6
5|2
6|6
7|14,9,13
8|13,13,12
9|7,3,2
10|5,8,12
11|14,10,6
12|12
13|7,1,5
14|5,9,12
# Graph 20
1|2,3
2|4,5,6
3|5,6,7
4|7
5|9
6|8,9
7|9
8|8
9|9
10|4,5,6
